,QUESTION_TITLE,QUESTION_BODY,ACCEPTED_ANSWER_BODY,QUESTION_FAVORITES,QUESTION_SCORE,QUESTION_VIEWS,ANSWER_SCORE,ANSWER_COMMENT_COUNT,QUESTION_BODY_HAS_CODE,ACCEPTED_ANSWER_BODY_HAS_CODE
534,MVC Json FullCalendar,"I am having a general problem, I used a other guys base to finally get this working and got it working with my database, however when I try to convert it to my project I get an error here is my code: So I have an index page in the View am using ID Calendar... I also have an Action inside controller other than Index called -   I have checked and copied that code from my other project ( which works great btw ) so I know the names are all 100% correct.  This is the Error I get:   The parameters dictionary contains a null   entry for parameter 'start' of non-nullable type 'System.Double' for   method 'System.Web.Mvc.ActionResult GetEvents(Double, Double)' in   'PropertyManager.Areas.Tenant.Controllers.EventController'. An   optional parameter must be a reference type, a nullable type, or be   declared as an optional parameter. Parameter name: parameters  I honestly am not sure how to fix as in the other project I dont call it with parameters either. However I do notice in Chrome when I go network view I see start & end and its correct dates etc. They just arent getting passed properly into the controller what should I do ?","By default, event as a json feed passes  and  parameters in ISO8601 format:  The values of these parameters will be ISO8601 date strings (like 2013-12-01).   What you can do to make this work in unix format is on your client side, replace the  property in AJAX call to the following code (events (as a function)): ",,0,750,1,2,1,1
535,SignalR client misses some events at a regular interval,"I have a straightforward SignalR setup: OWIN-hosted .NET server and JavaScript client (both @ v2.1.1). The client uses SignalR to synchronize its copy of an ordered event stream maintained in an Rx  on the server. When a client connects, it provides a  query parameter that is used to initialize an  against the , and this observer then sends each event in the observed sequence to the client. Each event has a sequence number, and the client can tell, based on the event sequence number, if any event is missing in the sequence. (Which would be a serious problem in this application.) The problem is that the client regularly receives only portions of the event sequence. In fact, there is a regular pattern to this. For every 250 events there is a large gap. So for example, each test shows that the first gap was from somewhere between 70 and 80 to 250. Why always 250? And from there on, the ""skip-to"" point is always in intervals of 250; e.g., a gap from 263 to 500, then one from 511 to 750, etc.. I have to assume that this is some kind of default buffer size. Also, the first time a client connects to the server it always receives the entire sequence just fine. It's the subsequent connections that exhibit the regular skipping problem. So it seems like it's a server-side problem, and not a client problem at all. I then added some checks to the server to ensure that the  for each client is seeing all of the events in the correct order. It is. So it seems almost certain that the problem is on the SignalR server side and has nothing to do with Rx. And finally, I checked to see if the dropped messages were perhaps just being delivered out of order (which I could live with, although I assumed SignalR provides an ordered-delivery guarantee). They are not - the messages just disappear into a void. If it helps, I'm currently running locally, with IIS Express on Win 8.1 x64 and testing on IE Developer Channel as well as Chrome 36. The connection is using WebSockets. I couldn't find any reference to 250 as a special quantity in either the SignalR source (client or server) or the Rx.Net source. Any suggestions on troubleshooting? I'd love to find a stable solution before I start building a complicated workaround. Here's the relevant server-side code: ","The issue you are experiencing seems consistent with a message buffer overflow. When SignalR releases messages from its buffer, it does so in 250 message fragments by default. SignalR will buffer at least the last 1000 messages sent to a given . This means that when you send the 1251st message, the first 250 get dereferenced by the buffer. This explains why when a client first connects to the server, it receives the entire sequence of messages. You have to send at least 1251 messages to a given client before the buffer will drop fragments. Again, this is all assuming default settings. While you could increase the DefaultMessageBufferSize, that probably will not fix your root problem. It seems that you are trying to send messages faster than the server can send them to the client. If you do that continuously, you will run out of buffer space no matter the size. It's more common to reduce the DefaultMessageBufferSize rather than increase it, since the buffers can consume a lot of memory, especially if you are sending a lot of large unique messages to many different clients. Your best bet to avoid overrunning the buffer is to have the client send an ACK at least every 1000 messages. Given this, it might be possible to avoid sending over 1000 unACKed messages thereby avoiding this problem altogether. By the way, you can take a look at SignalR's message buffer implementation yourself if you feel so inclined. Note that the capacity constructor argument is the DefaultMessageBufferSize.",2.0,2,712,3,2,1,1
536,Parse iOS SDK + Cloud Code: How to update user,"I am confused on how to update a user from cloud code. If someone can help me out with getting my mind right about this I'd appreciate it.  The cloud code I will use for this example is: cloud code  called from iOS  Questions  1) is the ""new"" in the code above creating a ""brand new"" user, or is it ""grabbing"" an existing user at the  so that it can be updated on ? 2) if the latter is correct, than is it possible to ""grab"" a user from a column other than the  column, and maybe instead grab from the  column? eg:  ","This line:  Creates an instance of an object with a known ID, it only works with . Any changes you make to that object are persisted, but no other data is changed (e.g. you won't accidentally blank out the other columns). If instead you wanted to get a user by email you would have to do a query: ",,1,1660,3,2,1,1
537,External Storage Permission Issue with MediaProvider / Ring Tones,"Some of my users have reported to Google Play the following error when trying to select a ringtone in my app. (there's more to it, but it's not relevant)  I assume this issue is happening due to certain tones that are on external storage. I don't want to include the  permission in my app unless I absolutely have to. Is there a way to circumvent the issue and just exclude any tones that may be on the external storage? Note: I'm getting ringtones with  and convert them between  and . No other code is touching the user's media. Also, I do not have a line number since the stacktrace is from obfuscated code and re-mapping the stack trace did not provide line number.","Just had the same problem and came up with the following solution:  To get the Uri of a ringtone you need to combine the  with the  column value, you can do this by using  class: ",3.0,5,6239,3,2,1,1
538,how to combine FrameWork2.0 in my installation?,i want to distribute my C# program and i want to combine  FrameWork2.0 in my installation. how i can do it - without download FW2.0 from the Web ? i need that the FW2.0 will be part of my installation and when the customer will install the program - the FW2.0 will be install (without internet) thank's in advance," Open your setup project properties. Click on the Prerequisites button. Choose ""Download prerequisites from the same location as my application"". Click Ok. Rebuild the project.  Now the Framework 2.0 with other dependent packages should be created along with the setup in your project output folder.",,0,70,1,6,0,0
539,Custom Flex/ActionScript UIComponent Keeps Getting Painted Multiple Times During a Resize,"I've created a custom uicomponent and whenever the browser or its specific container is resized, a repaint occurs but the contents of the component get drawn again and again and again... So, if I move the container I'll end up with multiple circles drawn on top of each other but offset depending upon where the container is when the repaint occurs. My updateDisplayList code is below. Do I need to do some sort of clear so that it doesn't contiuously getting duplicated like this??? Thanks so much for any help! ","Read up on the Flex component lifecycle.  A lot of things may execute invalidateDisplayList() thereby causing updateDisplayList to be re-execute during the next render event.   The problem I see here is that you are creating new baseCircle, outerCircle, and innerCircle each time.  Rather, you should be creating one of each instance and updating it when updateDisplayList() runs.   I'd probably make your instances of innerCircle, outerCircle, and baseCircle variables on the current component.  In createChildren() you can add them as children on the component.  In updateDisplayList you can do the relevant drawing.  ",,0,676,1,6,1,0
540,asp.net Setting up email,"Alas, my experience has reached an end and request help. So far I've followed the instructions from this article http://www.4guysfromrolla.com/webtech/080801-1.shtml . My only problem is It compiles fine but no email arrives. I have a feeling it's for obvious reasons which escape me.  This is my aspx.vb page.................................................................................................................  .......................................................................................................................................................... my aspx page contains the following ...w/o the parenthesis () The web.config file is as follows(unfortunately it won't display with greater than less than symbols.  The people at godaddy.com told me that the only information I needed was the relayServer host name which is relay-hosting.secureserver.net and username and password weren't required.  Thanks for any help","I think that is your problem.  Change the mail server port from port 80 to port 25 in the web.config Try using this block of code:  Here is the thread and some other examples as well.  It also sounds like there is a godaddy setting somewhere, but I don't remember having to change anything on my end. http://forums.asp.net/t/939893.aspx",,1,1213,2,6,1,1
541,when to prefer pessimistic model of transaction isolation over optimistic one?,"Do I understand correctly that table/row lock hints are being used for pessimistic transaction (TX) isolation models of concurrency ONLY? In other words, when can table/row lock hints be used during engagement of optimistic TX isolation provided by SQL Server (2005 and higher)?      When one would need pessimistic TX isolation levels/hints in SQL Server2005+ if the later provides built-in optimistic (aka snapshot aka versioning) concurrency isolation? I did read that pessimistic options are legacy and are not needed anymore, though I am in doubt.   Also, having optimistic (aka snapshot aka versioning) TX isolation levels  built-in SQL Server2005+,  when one would need to manually code for optimistic concurrency  features?   The last question is inspired by having read:    ""Optimistic Concurrency in SQL Server"" (September 28, 2007)  describing custom coding to provide versioning in SQL Server.  ","Optimistic concurrency requires more resources and is more expensive when the conflict occurs. Two sessions can read and modify the values and the conflict only occurs when they try to apply their changes simultaneously. This means that in case of the concurrent update both values should be stored somewhere (which of course requires resources). Also, when a conflict occurs, usually the whole transaction should be rolled back or the cursor refetched, which is expensive too. Pessimistic concurrency model uses locking, thus downgrading concurrency but improving performance. In case of two concurrent tasks, it may be cheaper for the second task to wait for a lock to release than spending  time and disk  on two simultaneous works and then yet more on rolling back the less fortunate work and redoing it. Say, you have a query like this:  , with  reading some data from  itself. In other words, this query transforms a subset of  sharing the value of . Now, when two functions work on the same range, there may be two scenarios:  Pessimistic: the first query locks, the second query waits for it. The first query completes in  seconds, the second one does too. Total:  seconds. Optimistic: both queries work independently (on the same input). This shares  time between them plus some overhead on switching. They should keep their intermediate data somewhere, so the data is stored twice (which implies twice  or memory). Let's say both complete almost at the same time, in seconds. But when it's time to commit the work, the second query will conflict and will have to rollback its changes (say, it takes the same  seconds). Then it needs to reread the data again and do the work again, with the new set of data ( seconds). As a result, both queries complete later than with a pessimistic locking:  and  seconds vs.  and .   When one would need pessimistic TX isolation levels/hints in SQL Server2005+ if the later provides built-in optimistic (aka snapshot aka versioning) concurrency isolation?  Optimistic isolation levels are, well, optimistic. You should not use them when you expect high contention on your data. BTW, optimistic isolation (for the read queries) was available in  too.",,1,1159,5,6,0,1
542,Using Python's re to swap case,I'm using the re library to normalize some text. One of the things I want to do is replace all uppercase letters in a string with their lower case equivalents. What is the easiest way to do this?, There is also a swapcase method if you want that. See: http://docs.python.org/library/stdtypes.html#string-methods,,2,872,8,6,0,1
543,NSDate get a specific day of the week?,I hope this is just a learning curve I'm going through. I create an arbitrary date.  I want to find the Saturday following the third Friday.  And the output: Date: 2010-11-01 05:00:00 GMT Date: 2010-11-01 05:00:00 GMT Why?  How can I fix this?,Change the components to:   This works:  Hope this helps.,,1,1520,2,7,1,1
544,Generate / create mdump files for in my app,"Im looking for a way to generate minidump files in my applications simular to what ProcDump does but prefarably with code and not having to extract a 3dparty tool to do it. The main reasons for not wanting to use ProcDump is: 1) Size of the binary would increase greatly ( This is a problem because my apps are freeware, and bandwith is not free). 2) Feels dirty. 3) No way i can port that app to run inn windows mobile. My requirements are: 1) Ability to generate mdump files in a fatale crash. 2) Abilityt to do ""pause"" the app do a dump, and contiune would be a bonus.  If this is not realy a option, is there a way to get the values of local varibales in the current context dynamicly? Side note: I did find this article, but its very old so i so im hesitant to base my work of it. There seems to either be a issue with IE 9 or with the site, so i had problems with tags.","So there is one solution that comes to mind and meets the following goals:  Size of the binary would increase by around 300k Ability to generate mdump files in a fatale crash. Ability to do ""pause"" the app do a dump, and contiune would be a bonus  I'll give this requirement a complete unknown:  No way i can port that app to run inn windows mobile.  So what's the solution? Integrate the required parts you need from the Microsoft Sample for MDbg.exe to provide you with a 'just-in-time' debugger that attaches, dumps, and detaches from the crashing process. Step 1 - Start by downloading the source code to the mdbg from here: http://www.microsoft.com/downloads/en/details.aspx?FamilyID=38449a42-6b7a-4e28-80ce-c55645ab1310&DisplayLang=en Step 2 - Create a 'crash' handler that spawns a debugger process and waits for completion.  I used the following few lines of code to re-launch the same exe with a few extra arguments to invoke the debugger and output an xml file to std::out.  Step 3 - Write the debug dump routine, this can be in the same exe or in a different exe.  You will need to reference (or include the source from) the 'raw', 'corapi', and 'mdbgeng' modules from the sample.  Then add a few lines to your Main():  Example Output  Since you have the full power of a debugger there is nothing stopping you from writing as much or as little as you like, but the above example should get you started. UPDATE This works with the .Net 2.0 and/or 3.5 runtime without any further dependencies. This can debug .Net 2.0/3.5 code running in a .Net 4.0 process; however, it does not work with 4.0 (yet).   For 4.0 CLR see this post: http://blogs.msdn.com/b/rmbyers/archive/2008/10/27/icordebug-re-architecture-in-clr-4-0.aspx",6.0,8,1134,6,7,0,1
545,using group() breaks getSelectCountSql in magento,"When I'm using   or   It breaks getSelectCountSql and I'm getting 1 record and 1 page. Magento does   Is there a way to fix it? I run into it,While overriding _prepareCollection of Mage_Adminhtml_Block_Catalog_Product_Grid Thanks",I updated the lib/Varien/Data/Collection/Db.php file to allow this as I had to have it work. You'll have to keep track of this for upgrades but it works.   ,11.0,8,10074,29,7,1,1
546,Regex Until But Not Including,For regex what is the syntax for search until but not including? Kinda like: ,"The explicit way of saying ""search until  but not including "" is:  where  can be any regular expression.  In your case, though, this might be overkill - here the easiest way would be   This will match anything except  and therefore stop right before the next . So  will match .  However, as soon as you have more than one simple letter to look out for,  comes into play, for example  - match anything until the start of the word .  This is using a lookahead assertion, more specifically a negative lookahead.   will match . Explanation:  Furthermore, when searching for keywords, you might want to surround them with word boundary anchors:  will only match the complete word  but not the fox in . Note  If the text to be matched can also include linebreaks, you will need to set the ""dot matches all"" option of your regex engine. Usually, you can achieve that by prepending  to the regex, but that doesn't work in all regex engines (notably JavaScript). Alternative solution: In many cases, you can also use a simpler, more readable solution that uses a lazy quantifier. By adding a  to the  quantifier, it will try to match as few characters as possible from the current position:  will match any number of characters, stopping right before  (which can be any regex) or the end of the string (if  doesn't match). You may also need to set the ""dot matches all"" option for this to work. (Note: I added a non-capturing group around  in order to reliably isolate it from the alternation)",44.0,78,97071,157,8,1,1
547,C# regex help - validating input,I need to validate that the user entered text in the format:   ####-#####-####-###  Can I do this using Regex.Match?,I would do something like this: ,,5,335,7,9,0,1
548,Error starting JobHistoryServer on Cloudera Manager,I installed Cloudera Manager 5.13.  While installing and running for the first time YARN.. I had the following error  [.... and other rows of Stack exception errors] So basically the problem is the permission of the HDFS folders.  Something like:   will fix the error.  But my question is... Wouldn't be unsafe? Why Cloudera doesn't handle this permissions?,"Actually, the Job History server would be owned by  and if you want to see the exact permissions you should refer to: Deploying MapReduce v2 (YARN) on a Cluster - Step 8: Create the history Directory and Set Permissions  This is a subdirectory of the staging directory you configured in Step 4. In this example we're using /user/history. Create it and set permissions as follows:  ",,0,1588,6,0,1,1
549,What is the benefit to using typing library classes vs. types in Python type hints?,"I'm starting to learn type hints in Python to ease the future porting of code from Python to C. I am wondering what the difference is, if any, between using types directly in type hints vs. using the classes defined in the  module. For example, the difference between  and  It seems like some classes like , , , and  would be useful, but the utility of classes for data types that already exist as keywords in python is unclear to me.","It's useful for writing annotations that can be legally evaluated;  will explode if you try to actually run it, while  returns a new generic type that knows the type of both container and contents. This is particularly important in the case of type aliases, where a specialized version of a generic is defined at the top level, then reused as annotation further on:  is legal, while:  blows up in your face. You'll note that non-container/generic types typically don't have a  type (exceptions like  are for porting concerns), because type aliases would only use them as ""leaf"" type, not root or branch types.",,2,609,8,0,1,1
550,lombok.javac.apt.LombokProcessor could not be initialized,my question somewhat relates to this post: Gradle build fails on Lombok annotated classes I am using jhipster and lombok 1.16.18 with a build.gradle as follows  but get the following error during compileJava:  What am I missing here?,"Output of  shows that you are using JDK 9 which is not supported by JHipster 4.10.2, please use JDK 8. Same for Lombok. ",,11,15056,11,0,1,1
551,how can i modify regex to match all urls on page,"I nave an regex for search a simple url: https://regex101.com/r/UmMEMl/1/ It matches a simple url in the text. How can i modify this regex to match ALL urls in the text?  I'm not so good in regexes, so could somebody please take a look","In your example you didnt put flag.  Add the 'g' flag for 'global' (meaning the regex dont stop at the first match)  add the 'm' flag for multiline search meaning start and end anchor (^ and $) match start and end of line instead of the whole text.   https://regex101.com/r/UmMEMl/2 Edit:  your original regex was   and you need    (notice the two letters at the end, its the flags) Edit2 you can shorten your regex  Note that  can be written  and that's what i did shortened with your ",,-2,98,-1,0,0,1
552,Numpy array in array with unequal length,I am wondering how to create a numpy array in a numpy array. Each array in the main array should be able to have a different length. The main array should be the index number to the array object inside. I already have an example of this type of array but I want to re-create something similar. Example: ,"You need to create an array with , so that numpy knows to treat each entry as a Python object rather than treating the entire nested list as a single array. For example: ",,0,1699,0,1,1,1
553,Displaying multiple Select Values into an alert?,"I'm still a beginner hence this is difficult, but how do I display the options I selected into an alert box. So it would be ""You selected (value), (value), (value)"". This is my select list       Should I add a button. But what I'm struggling with is the javascript.","The easiest way to access selected elements of a select tag is with the ""selectedOptions"" property. I would do it this way: ",,0,653,0,1,1,1
554,PHP session authentication for login,"My website navigation bar should change accordingly to the session before and after login. However, the session is not working as it displays both login and logout menu, here's my php login code:  HTML (including login and registration drop down menu):  I am new to both php and html, is it because of the wrong echo tag?","If it's outputting both the  and  conditions, probably it's not interpreting it as php. Instead of redirecting to an HTML file, try a php file ()",,-2,185,0,1,1,1
555,"Why cant we use clone method in class without implementing clonable as even though base class object has ""clone()"" method?","I was trying to override clone method in my class ""Employee"", when super.clone() was called, it gave exception but same code worked when I implemented ""clonable"". What my question is, every class has base class ""Object"". But when we call  super.clone() it fails and on implementing clonable it works. why is it so? Like shouldn't base class method can be accessible using ""super"" from subclass? why does it throws runtime exception? ","Check out stackoverflow answer:  The implementation of clone() in Object checks if the actual class   implements Cloneable, and creates an instance of that actual class. So if you want to make your class cloneable, you have to implement   Cloneable and downcast the result of super.clone() to your class.   Another burden is that the call to super.clone() can throw a   CloneNotSupportedException that you have to catch, even though you   know it won't happen (since your class implements Cloneable). The Cloneable interface and the clone method on the Object class are   an obvious case of object-oriented design gone wrong. ",0.0,-1,624,1,1,1,0
556,How to get when user change the screen resolution in Adobe AIR?,"I can get screens resolution when my application starts, but can I know when the user has changed the resolution? Something like a event (example):  I've tried using a  to monitor the resolution, but is this the best way to do this? ","As far as I know, polling (what you're currently doing) is the only way in AS3 to detect screen resolution changes.   However, if you are in a maximized or fullscreen window, the window (or stage if set to NO_SCALE) will fire a resize event on a resolution change.  (see the answer from Diniden).  Though I'd recommend listening on the  object instead of stage itself.  I'd say that you are doing it a perfectly acceptable way currently.  Keep in mind though, that if this is a desktop application, the user could have your program on a monitor that is not the primary one ().  To support that scenario, you'd want to do something like the following:  Now you can listen for that event in other parts of your application. ",,1,183,1,1,1,1
557,Java: Get delimeters in a string in the same order it appeared,"I am planning to split a string which is composed of numbers and operators (eg. +,-,*,/) and store the numbers in an array and also store the operators in an array. I have managed to get the numbers and store them in an array with this code   Which outputs:  58.5 98 78 96 78.7 3443 12 3  What I want to do/have is get the delimiters in the same order they appeared on the string, like this:  + * / / - * -  I know this has something to do with regex but I am having a hard time implementing it. Thank you for the help.",For something quick and dirty you can split using the negated regex and ignore/remove the empty strings. ,,0,31,1,1,1,1
558,How to change text in a simple expand jQuery?,"How can I change the text of [+ Add] when I click on expand and show this [X Cancel] But to get to the idea, what I want to achieve is what I show in the next two images.          ",You can use this and ternary operator to achieve that.        ,,2,59,1,1,1,1
559,Scala compiler output after cleanup phase,"I would like to develop a tool that post-processes a scala program once all the heavy lifting has been completed by the Scala compiler. From what I understand the different phases of the Scala compiler incrementally simplify the program in terms of its syntactic sugars and advanced features like lambdas, closures, pattern-matching etc. However, I notice that what comes out of the so-called cleanup phase - which is the last phase before code-generation - looks like scala but it is not really scala.  Does anyone know personally or can point me to a resource that can help me understand the language that comes out of the cleanup phase ?  To give you an example, in the output of the cleanup phase I see things like:  My hypothesis is that this is the result of translating pattern matching but it does not look like valid scala syntax as far as I understand (I am not an experienced Scala developer at all!). I guess it all comes down to this: is it possible to convert the output of the cleanup phase to valid - compilable - scala code in general ?","In general, at any stage in the scalac compiler (even right after parsing), the internal representation used by the compiler is not valid Scala code anymore. That is essentially because of the existence of labels and gotos, which you discovered. A structure of the form  is a label definition, and a call of the form  is a jump to that label, assigning the  to the . Labels and gotos are used by scalac (and dotc, but with a different representation) to represent  and  loops (immediately after parsing), the translation of es and the tail-recursive-optimized functions. In general, there is no way to go back from the internal representation to valid Scala code, especially so far in the pipeline as after .",1.0,3,82,1,1,1,1
560,How to get response from another site in laravel controller,I want to create API in laravel which gives data return. I want to get data from this link into my laravel controller.,This can be done by pulling in guzzle.  Try: https://github.com/guzzle/guzzle  Hope this helps you!!,,1,784,1,1,0,1
561,Pointer to a void * function C++,I am trying to call pointer to a  function inside the main method and the compiler is saying .  function is actually an argument to  function. That's why it is  function. How can I create a function pointer to a  function? ," How can I create a function pointer to a void * function?    is not a member function, but it's a static function.  So your  should be as follows:  Note that  is declared with static, meaning that it's no longer a member function to .  Static members of a class are not associated with the objects of the class.  So using  to cull non-member functions is incorrect. If you're allowed to use a compiler that supports C++11, you don't even need to manually deduct its type anymore, using decltype:  FYI, since  does not have its definition, you might encounter a linkage error. To prevent that, I assumed that there's some implementation inside: ",,2,743,2,1,1,1
562,SSIS reading from Record set instead of Database,I'm doing some data migration of a large amount of data in which I need to perform some data matching in order to identify the operation that needs to be done on the record. For that What I'm currently doing is to read the data from the source and then match the records using a SQL Command - so that I need to hit the Database twice for each record. So Will it improve the performance if I read the data to a recordset and then match the values inside that ? I'm reading from SQL Server 2008 R2,1) using Look up transformation is one efficient way of merging records ex:  2) Use merge procedures ex:  ,,0,62,2,1,0,1
563,MySQL calculate delta (difference) from previous upload day data for next 6 months,"I need to run a query which will:  Calculate the ""Δ"" which is the different between the previous day report and the current, for example: 23 Nov, value is 10 and 22 Nov is 9, so Δ = +1, increased by one  And do so on for all days up to 6 months from previous day  Data   Required Result  I know I can calculate by running another query inside loop after getting rows for a date. But I want to calculate in a single query. Data is very large, millions of records and growing on daily basis.  I want to optimize the query as much as possible as it's bottleneck for the system and system gets stuck while running each query for each row. Basically I can't do anything while currently calculating by each row.",A single query would be something like this. I hope there is an index on  and  columns: ,,0,549,2,1,1,1
564,ImageMagick no encode delegate,I used to be able to convert text to an image using ImageMagick but now I get this error message:  ImageMagick was installed using Homebrew ,"In IM 7, convert is replaced by magick. You also have not specified an output image format for ""file"". Try this:  or   That works for me on IM 7.0.7.10 Q16 Mac OSX What do you get from   Does it include freetype? If not, then you probably need to install Freetype with ImageMagick via Homebrew",,2,656,3,1,1,1
565,Dataframe group by numerical column and then combine with the original dataframe,"I have a pandas data frame and I would like to first group by one of the columns and calculate mean of count of each group of that column. Then, I would like to combine this grouped entity with the original data frame. An example:  Group by along column b and taking mean of orders  End result:  I know I can group by on  and then, do a inner join on , but, I feel like it can be done in much cleaner/one-liner way. Is it possible to do better than that?",This is   ,,0,22,1,0,1,1
566,Prevent javascript from evaluating object property first,"I am creating a game of chess and have this line of code:  What it does, is check if  is false, and if it is, continue and set  to true. As @Klaycon said, it reads it like this:  And that is when I get an invalid left-hand side assignment. I know I could replace it with an if statement but I was wondering if there was something else I could do to fix it.","Just add some parenthesis. The outer ones are not necessary.  An even shorter approach uses an logical OR without a logical NOT for the first part.  But anyway, you could assign  without check, if the value is a boolean. ",,0,42,1,0,1,1
567,HTML How to switch through pages inside single file,"I am making a webpage. I created a button, which you click to get to another page. Problem: I have to recreate the .HTML file and load it with  but contact.html is just index.html with contact details. So could I make a button that loads the new page without creating many .html files that display more text source: https://github.com/4u7157/4u7157.github.io ",You could use bootstrap and do this:      ,,0,21,1,3,1,1
568,"Django, attributes of get and filter queryset method","This may be possible duplication of question (https://stackoverflow.com/a/46439518/10515390) which says, get() returns an object that matches lookup criterion. filter() returns a QuerySet that matches lookup criterion. Consider below model,  When I try to query the authors list based on specific Entry objects got error as  attached below  Why don't the filter queryset have no attribute 'authors' ?","Because it’s a set of models, not a model (even if there’s only one model in there). You need to extract it out of the queryset by iteration or slicing. If you’re only interested in one instance then just stick to objects.get(). Objects.filter is used for querying more than one object. Note: .all() just gets everything from db and using it on already filtered queryset just brings you the same thing.",,0,12,1,1,1,0
569,Problem with Springer latex template SVJour3 f,"my springer manuscript works fine on overleaf, but when building pdf for review submission I get errors. I don't know how to fix this. Could you please help me? ''''  '''' My log file https://1drv.ms/b/s!Ajv_KLtup0whaZa_nx-6MCIkpo0","There is a forbidden character on page 7 in the sentence  The fi in ""specifies"" is a ligature which is not allowed in pdflatex. Delete it and retype it as ",,0,79,1,0,1,1
570,Duplicated characters in dict,"I did this code:    The problem is with words that contains more than one egual character like ""finishing"" that has 2 ""n"" characters, so in the dict, only 1 ""n"" will be added how can I solve this?","This will do the trick for you: (I also tweaked the  loop, where you were iterating over combinations - just to keep it pythonish ;) )  Consider function  - the most important improvement. It essentially leverages the fact that   can also take 3rd argument, which in essence defines number of replacements to be done - just to replace  one at a time.",,0,47,1,0,1,1
571,Salesforce REST API upsert not updating or inserting a record,I am trying to update and insert Contacts using the external ID and patch method with the REST API. If I try to use an existing record I just get back the record JSON and nothing gets updated. If I use an none existent external ID I get an error:  Authentication works as I can make GET calls and get back the data fine. I am not sure where to go from here. Any leads will be appreciated. ,"Does connecting user have right to see/edit the  and is the field really marked as ext id? What if you'd try to make similar operation in Data Loader or even the REST call in Workbench -> REST API Explorer? Your request looks OK, you can compare with abomination I made in https://salesforce.stackexchange.com/a/274696/799. It's for upserting to multiple tables in one all-or-nothing operation, without wasting many API calls.",,0,175,1,10,1,1
572,How to create a trigger to send email,I am trying to create a trigger in SQL to send email to specific addresses. The outline is:  I have created a  that  returns an alert column indicating 1 if balance is low or 0 if it is not. I need to create a  that if alert column is 1 it sends an email. The  and  need to be executed once a week.  What could be the best way to accomplish this? Any guidelines would be helpful. I am using a Firebird database.,"While the database engine may initiate e-mail sending it should never do the sending itself. Only some short (quick) and error-free actions should be done within the database server. There should be another application/service/daemon running, which should be doing the e-mails based on the data prepared in SQL realm. The question is when this sender application should be triggered. The database-agnostic way would be polling the database by scheduled time intervals, which traditionally nicknamed as ""cron"" actions, mentioned by Rajiv Shah. Once a minute or once a second or once an hour - by your choice. A Firebird-specific way would be using  command. It can be used instead of time-based polling or together with. Here is the example:  https://firebirdsql.org/file/documentation/reference_manuals/fblangref25-en/html/fblangref25-psql-coding.html#fblangref25-psql-postevent How your program would subscribe to those events would be dependent upon programming language and Firebird-accessing library. As far as i understand PHP would probably fit poorly there, as it is more tailored to run short scripts by daemons' requests, rather than being a continuously running daemon itself. Though perhaps PHP gurus can have it both ways. I also don't know if PHP has support for the Firebird events, it does not seem to be a priority for scripting language. You can read more about Events by googling for , among many links there will be for example those:  Is it possible to use arguments with firebird events :  POST_EVENT 'event_name' + string args? https://mikejustin.wordpress.com/2012/11/06/firebird-database-events-and-message-oriented-middleware/ https://www.firebirdsql.org/file/documentation/papers_presentations/Power_Firebird_events.pdf ",,-2,76,1,2,1,1
573,Kendo grid how do i auto-size an excel export row height?,"I have a custom excel output class that I'm using to parse the grid, and in some cases replace the data in the grid with template data.  In this particular instance, the data i want to output is multi-line.  I have it working to that point but the exported sheet is one line high so you can't see lines two thru-seven in the field. desired result:   actual result:  Here's a relevant section of my code.  It's the parsing loop that applies the templates and strips html, but adds line breaks first.  any help would be appreciated.  I would like to either have a setting that makes this ""just work"" or have a way to compute the needed height and set it manually.  Either is fine.","I'm not aware of a way to auto-size it, but you can set row height it via sheets.rows.height:  example found here Updating your code to utilize each  in the template html you can do something like the following: ",,1,62,1,6,1,1
574,Animating the slide in of a form causes visual glitches on landscape iPhones with notches,"I'm have a button to make a settings menu slide in from the left in SwiftUI, everything was working great until I switched from the iPhone SE to the iPhone 11 simulator!  The problem is that using a ZStack to have form overlaid over the interface, and then animating the appearance of that form causes there to be visual glitches where the elements contained inside the rows clip outside the cell width. This clipping occurs at the start of the animation and stays in place once the animation is done.  This does not happen if the animation is disabled, the device is portrait, or for devices that do not have a notch.  Causing the view to redraw by rotating the device or using the ""NO ANIM"" button fixes the glitch until you animated it again. Changing the transition to .opacity works in this case, but .opacity has the same issue in some view structures as well...  I have tried structuring it in a different way where the menu is always there but just offset so it is off the screen, again same problem.  I assume this is a bug in SwiftUI, and so have submitted a bug report. But does anyone have a workaround? Xcode version = 11.5, iOS version = 13.5 ",Explicit row insets solves the issue (tested with Xcode 11.4 / iOS 13.4)  ,,1,37,1,1,1,1
575,ReactJs : How to load react functional components selectively at startup?,"I am trying to load components only when clicked instead of loading all during startup. index.js:  App.js:  My each provider component is making a get call to an endpoint to get data for the component  When I browse the root of my site on http://localhost:3000/, I expect to load only component D, but when I look at the browser network calls I see get calls for all the four components, instead of only loading the component of the route, How do i selectively load components? I have tried react-loadable and React.Lazy but it still makes all the four calls. Any help is greatly appreciated.",The reason all Providers are invoked is because you don't render them within a Route. The correct way to invoke components on specific routes is to render them as Route children and not as Route wrappers ,,0,47,1,2,1,1
